school_ID,age_yrs,sex,weigth,height,BMI,cran_vol,head_circumference,birth_weight,birth_heigth,birth_head_circumference,M_birth_age,mothers_nationality,mothers_height,mothers_weight,dads_nationality,dads_height,N_sibs,birth_order,cohab_3,2_providers_OK,Two_providers,cohabitance,n_providers,two_paretnal_figures,parents_together,two_parents,parents_alive,dads_education,Feduc_3,Feduc_1,mothers_edu,Meduc_3,Max_edu_3,family_income,personal_estimate_of_resources,Resources_reported,enough_food,lacking_meat,lacking_fruit,lacking_milk_meat,lacking_vegs,estimate_of_educational_success,grades,smoking,alcohol,Mo-smokes,dad_smokes,engages_in_sport,Oma_toas_inimesi,Laste_arv_peres...150,underage_children,people_in_dwelling,height_rzs,BMI_rzs,cran_vol_rzs,head_circ_rzs
1,16.471233,2,57.9,160.7,22.420578,1079.886,53.6,NA,NA,NA,NA,1,NA,108,1,NA,1,3,1,1,1,0,2,1,0,0,2,5,3,0,NA,NA,3,1,1,1,0,1,0,2,1,3,3,2,0,0,4,0,1,NA,NA,5,-0.604915403611117,0.892971102812897,-0.579205972913984,-0.515729119644615
1,12.32,2,37.85,152.8,16.21135,1028.646,51.7,3170,48,NA,19.3,1,162,55,1,182,0,1,0,0,0,0,1,0,0,0,1,2,1,1,3,2,2,1,2,1,2,1,0,2,0,3,3.5,0,0,1,3,1,1,NA,1,2,-0.282266513896813,-0.654831587936269,-1.17279045666099,-1.60522456967599
3,12.816438,1,31.9,139.1,16.486802,980.937,50.8,NA,47,NA,33.9,2,161,51,2,176,1,5,2,1,1,1,2,1,1,1,1,NA,NA,NA,3,2,2,1,1,1,0,1,0,1,0,4,3,0,0,1,2,0,4,NA,2,4,-2.43441685134123,-0.552443887778006,-3.2565796525771,-2.51420864942382
3,14.361644,2,55.35,164.6,20.429511,1186.326,56.2,3800,52,NA,21.3,1,168,90,1,185,0,1,2,1,1,1,2,1,1,1,1,3,2,0,4,2,2,1,3,1,3,0,0,0,0,4,5,0,0,0,2,0,1,NA,1,3,0.156852754831558,0.342617680218774,0.297340001742316,0.48269323879798
5,13.512329,2,47.8,162.3,18.146416,1209.99,56.2,4500,51,36,35.1,1,164,60,1,182,0,3,0,0,0,0,1,0,0,0,1,3,2,0,4,2,2,1,2,1,0,1,0,2,0,NA,4,0,0,0,0,0,1,3,NA,2,0.228940271321811,-0.27085920401706,0.69284800285678,0.703534097252345
6,12.452055,2,31.1,147.2,14.353069,995.13,51.9,4000,51,NA,38.9,2,167,73,1,180,4,5,2,1,1,1,2,1,1,1,1,4,2,0,6,3,3,1,3,1,1,1,0,2,0,3,2,0,0,0,0,0,1,NA,6,10,-1.29268116104706,-1.43098689198644,-1.67211355574064,-1.55464287604574
1,11.720548,1,37.3,155.8,15.366463,1117.486,52.4,3450,56,NA,24.4,1,164,50,1,185,0,1,0,0,0,0,1,0,0,0,1,NA,NA,NA,4,2,2,2,3,1,2,0,0,0,0,3,2,1,1,0,2,0,1,NA,1,2,0.608205454852501,-1.13882078112828,-1.4923672836427,-1.4321008363379
1,13.424658,2,43.75,155.4,18.116572,1072.992,53.4,NA,50,NA,33.1,3,150,58,3,NA,2,3,2,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,2,3,1,2,0,0,0,0,3,3,2,1,1,4,0,1,NA,2,4,-0.783783782498025,-0.255396851372356,-1.04460042031291,-1.03850673565954
1,12.791781,1,40.4,156.7,16.452935,1212.517,54.5,NA,NA,NA,27.3,2,150,NA,1,182,1,3,0,0,0,0,1,0,0,0,1,NA,NA,NA,3,2,2,2,3,1,2,0,1,0,0,2,3,0,0,1,0,0,NA,NA,1,3,0.0370893380330684,-0.567030861430638,-0.371060350050423,-0.190201553358602
1,17.175342,2,54.5,163.7,20.337574,1174.518,53.3,3200,49,NA,19.8,1,167,54,NA,NA,0,1,1,0,1,0,2,0,0,0,1,NA,NA,NA,3,2,2,2,3,1,2,0,0,0,0,4,4,0,0,1,NA,0,3,NA,1,4,-0.0821549154952363,0.0175113523090599,0.868513788414609,-0.328361180377232
